"LON","LAT","GEOID","NAMELSAD","pop_2013","States","HUC8","Name"
-100.0625,28.1875,48479,"Webb County",254829,"MX,TX",13080002,"San Ambrosia-Santa Isabel"
-100.0625,28.3125,48127,"Dimmit County",10270,"MX,TX",13080002,"San Ambrosia-Santa Isabel"
-100.0625,28.4375,48127,"Dimmit County",10270,"MX,TX",13080002,"San Ambrosia-Santa Isabel"
-100.0625,28.5625,48127,"Dimmit County",10270,"TX",12110104,"Turkey"
-100.0625,28.6875,48507,"Zavala County",11849,"TX",12110104,"Turkey"
-100.0625,28.8125,48507,"Zavala County",11849,"TX",12110104,"Turkey"
-100.0625,28.9375,48507,"Zavala County",11849,"TX",12110104,"Turkey"
-100.0625,29.0625,48507,"Zavala County",11849,"TX",12110104,"Turkey"
-100.0625,29.1875,48463,"Uvalde County",26578,"TX",12110104,"Turkey"
-100.0625,29.3125,48463,"Uvalde County",26578,"TX",12110102,"West Nueces"
-100.0625,29.4375,48463,"Uvalde County",26578,"TX",12110102,"West Nueces"
-100.0625,29.5625,48463,"Uvalde County",26578,"TX",12110101,"Nueces Headwaters"
-100.0625,29.6875,48137,"Edwards County",2070,"TX",12110101,"Nueces Headwaters"
-100.0625,29.8125,48137,"Edwards County",2070,"TX",12110101,"Nueces Headwaters"
-100.0625,29.9375,48137,"Edwards County",2070,"TX",12110101,"Nueces Headwaters"
-100.0625,30.0625,48137,"Edwards County",2070,"TX",12110101,"Nueces Headwaters"
-100.0625,30.1875,48137,"Edwards County",2070,"TX",12090203,"South Llano"
-100.0625,30.3125,48267,"Kimble County",4566,"TX",12090203,"South Llano"
-100.0625,30.4375,48267,"Kimble County",4566,"TX",12090202,"North Llano"
-100.0625,30.5625,48267,"Kimble County",4566,"TX",12090202,"North Llano"
-100.0625,30.6875,48267,"Kimble County",4566,"TX",12090202,"North Llano"
-100.0625,30.8125,48327,"Menard County",2213,"TX",12090109,"San Saba"
-100.0625,30.9375,48327,"Menard County",2213,"TX",12090109,"San Saba"
-100.0625,31.0625,48327,"Menard County",2213,"TX",12090109,"San Saba"
-100.0625,31.1875,48095,"Concho County",4070,"TX",12090105,"Concho"
-100.0625,31.3125,48095,"Concho County",4070,"TX",12090105,"Concho"
-100.0625,31.4375,48095,"Concho County",4070,"TX",12090105,"Concho"
-100.0625,31.5625,48095,"Concho County",4070,"TX",12090105,"Concho"
-100.0625,31.6875,48399,"Runnels County",10439,"TX",12090101,"Middle Colorado-Elm"
-100.0625,31.8125,48399,"Runnels County",10439,"TX",12090101,"Middle Colorado-Elm"
-100.0625,31.9375,48399,"Runnels County",10439,"TX",12090101,"Middle Colorado-Elm"
-100.0625,32.0625,48399,"Runnels County",10439,"TX",12090101,"Middle Colorado-Elm"
-100.0625,32.1875,48441,"Taylor County",132588,"TX",12090101,"Middle Colorado-Elm"
-100.0625,32.3125,48441,"Taylor County",132588,"TX",12060102,"Upper Clear Fork Brazos"
-100.0625,32.4375,48441,"Taylor County",132588,"TX",12060102,"Upper Clear Fork Brazos"
-100.0625,32.5625,48253,"Jones County",20079,"TX",12060102,"Upper Clear Fork Brazos"
-100.0625,32.6875,48253,"Jones County",20079,"TX",12060102,"Upper Clear Fork Brazos"
-100.0625,32.8125,48253,"Jones County",20079,"TX",12060103,"Paint"
-100.0625,32.9375,48253,"Jones County",20079,"TX",12060103,"Paint"
-100.0625,33.0625,48433,"Stonewall County",1363,"TX",12050004,"Double Mountain Fork Brazos"
-100.0625,33.1875,48433,"Stonewall County",1363,"TX",12050004,"Double Mountain Fork Brazos"
-100.0625,33.3125,48433,"Stonewall County",1363,"TX",12060101,"Middle Brazos-Millers"
-100.0625,33.4375,48269,"King County",321,"TX",12060101,"Middle Brazos-Millers"
-100.0625,33.5625,48269,"King County",321,"TX",12060101,"Middle Brazos-Millers"
-100.0625,33.6875,48269,"King County",321,"TX",11130205,"South Wichita"
-100.0625,33.8125,48269,"King County",321,"TX",11130204,"North Wichita"
-100.0625,33.9375,48101,"Cottle County",1546,"TX",11130204,"North Wichita"
-100.0625,34.0625,48101,"Cottle County",1546,"TX",11130204,"North Wichita"
-100.0625,34.1875,48101,"Cottle County",1546,"TX",11130105,"Pease"
-100.0625,34.3125,48075,"Childress County",7057,"OK,TX",11130101,"Groesbeck-Sandy"
-100.0625,34.4375,48075,"Childress County",7057,"OK,TX",11130101,"Groesbeck-Sandy"
-100.0625,34.5625,48075,"Childress County",7057,"OK,TX",11120105,"Lower Prairie Dog Town Fork Red"
-100.0625,34.6875,48075,"Childress County",7057,"OK,TX",11130101,"Groesbeck-Sandy"
-100.0625,34.8125,48087,"Collingsworth County",3061,"OK,TX",11120202,"Lower Salt Fork Red"
-100.0625,34.9375,48087,"Collingsworth County",3061,"OK,TX",11120202,"Lower Salt Fork Red"
-100.0625,35.0625,48087,"Collingsworth County",3061,"OK",11120304,"Elm Fork Red"
-100.0625,35.1875,48483,"Wheeler County",5526,"OK",11120304,"Elm Fork Red"
-100.0625,35.3125,48483,"Wheeler County",5526,"OK",11120302,"Middle North Fork Red"
-100.0625,35.4375,48483,"Wheeler County",5526,"OK",11120302,"Middle North Fork Red"
-100.0625,35.5625,48483,"Wheeler County",5526,"OK",11120302,"Middle North Fork Red"
-100.0625,35.6875,48211,"Hemphill County",3959,"OK,TX",11130301,"Washita Headwaters"
-100.0625,35.8125,48211,"Hemphill County",3959,"TX,OK",11090106,"Middle Canadian-Spring"
-100.0625,35.9375,48211,"Hemphill County",3959,"TX,OK",11090106,"Middle Canadian-Spring"
-100.0625,36.0625,48295,"Lipscomb County",3379,"OK",11090201,"Lower Canadian-Deer"
-100.0625,36.1875,48295,"Lipscomb County",3379,"OK",11100203,"Lower Wolf"
-100.0625,36.3125,48295,"Lipscomb County",3379,"OK",11100203,"Lower Wolf"
-100.0625,36.4375,48295,"Lipscomb County",3379,"OK",11100203,"Lower Wolf"
-100.0625,36.5625,40007,"Beaver County",5605,"OK,TX",11100201,"Lower Beaver"
-100.0625,36.6875,40007,"Beaver County",5605,"OK,TX",11100201,"Lower Beaver"
-100.0625,36.8125,40007,"Beaver County",5605,"OK,TX",11100201,"Lower Beaver"
-100.0625,36.9375,40007,"Beaver County",5605,"KS,OK",11040008,"Upper Cimarron-Bluff"
-100.0625,37.0625,20025,"Clark County",2188,"KS,OK",11040008,"Upper Cimarron-Bluff"
-100.0625,37.1875,20025,"Clark County",2188,"KS,OK",11040008,"Upper Cimarron-Bluff"
-100.0625,37.3125,20025,"Clark County",2188,"KS,OK",11040008,"Upper Cimarron-Bluff"
-100.0625,37.4375,20025,"Clark County",2188,"KS,OK",11040008,"Upper Cimarron-Bluff"
-100.0625,37.5625,20057,"Ford County",34217,"KS",11040007,"Crooked"
-100.0625,37.6875,20057,"Ford County",34217,"KS",11030003,"Arkansas-Dodge City"
-100.0625,37.8125,20057,"Ford County",34217,"KS",11030006,"Buckner"
-100.0625,37.9375,20083,"Hodgeman County",1946,"KS",11030006,"Buckner"
-100.0625,38.0625,20083,"Hodgeman County",1946,"KS",11030006,"Buckner"
-100.0625,38.1875,20083,"Hodgeman County",1946,"KS",11030005,"Pawnee"
-100.0625,38.3125,20135,"Ness County",3095,"KS",11030005,"Pawnee"
-100.0625,38.4375,20135,"Ness County",3095,"KS",11030007,"Upper Walnut Creek"
-100.0625,38.5625,20135,"Ness County",3095,"KS",11030007,"Upper Walnut Creek"
-100.0625,38.6875,20135,"Ness County",3095,"KS",10260003,"Upper Smoky Hill"
-100.0625,38.8125,20195,"Trego County",2981,"KS",10260003,"Upper Smoky Hill"
-100.0625,38.9375,20195,"Trego County",2981,"KS",10260005,"Hackberry"
-100.0625,39.0625,20195,"Trego County",2981,"KS",10260009,"Upper Saline"
-100.0625,39.1875,20065,"Graham County",2604,"KS",10260009,"Upper Saline"
